epoch,bce,kld,total
542,945.587399,85.652886,1031.240285
543,946.154805,85.577091,1031.731896
544,946.309714,85.518791,1031.828505
545,945.774253,85.741645,1031.515898
546,946.467428,85.916425,1032.383853
547,946.029929,85.68097,1031.710899
548,946.231546,85.875968,1032.107514
549,945.628515,85.691424,1031.319939
550,946.213323,85.712421,1031.925744
551,945.831757,85.685851,1031.517608
552,946.317147,85.787907,1032.105054
553,946.152731,85.974871,1032.127603
554,945.611381,85.95723,1031.568611
555,945.336746,85.814313,1031.15106
556,948.301709,85.780935,1034.082645
557,946.156459,85.833372,1031.989831
558,946.026109,85.996229,1032.022338
559,944.631431,85.925513,1030.556944
560,944.82831,85.628049,1030.456359
561,945.093491,85.855595,1030.949086
562,944.553669,85.741002,1030.294671
563,945.046042,85.821893,1030.867935
564,945.492935,85.863508,1031.356443
565,944.847155,85.59358,1030.440735
566,944.742043,85.697762,1030.439805
567,945.861764,85.821938,1031.683702
568,944.082562,85.834545,1029.917106
569,944.670224,85.686204,1030.356428
570,944.438576,85.765114,1030.20369
571,944.196676,85.87245,1030.069126
572,943.957307,85.781462,1029.738769
573,943.547451,85.838521,1029.385972
574,944.079226,85.891685,1029.970912
575,944.054885,85.779679,1029.834564
576,944.415965,85.784182,1030.200146
577,944.196133,85.634837,1029.83097
578,944.098572,85.737452,1029.836024
579,944.865341,85.966898,1030.832239
580,945.074044,85.917709,1030.991754
581,943.969868,85.534821,1029.504689
582,944.229623,86.00383,1030.233453
583,943.844941,85.776421,1029.621362
584,945.334442,85.800929,1031.135371
585,945.893823,85.626764,1031.520587
586,944.26122,85.826029,1030.087248
587,943.709747,85.658501,1029.368248
588,943.935284,85.812756,1029.74804
589,943.763954,85.839488,1029.603442
590,943.945406,85.871686,1029.817092
591,944.373273,85.831143,1030.204416
592,943.002305,85.854366,1028.85667
593,944.227779,85.69047,1029.918249
594,943.000531,85.758987,1028.759518
595,944.414854,85.952458,1030.367312
596,942.982835,85.600359,1028.583194
597,943.058265,85.812593,1028.870858
598,943.145549,85.878501,1029.02405
599,942.864691,85.991257,1028.855948
600,942.301163,85.92709,1028.228253
601,941.904987,85.983889,1027.888876
602,942.768387,85.874583,1028.64297
603,942.80752,86.000313,1028.807833
604,942.178301,85.805909,1027.984209
605,942.355483,86.119088,1028.474571
606,942.443603,85.8307,1028.274303
607,942.18495,85.790286,1027.975236
608,941.784751,86.022757,1027.807508
609,941.393768,85.888242,1027.28201
610,941.766631,85.997026,1027.763657
611,942.523346,85.739035,1028.262381
612,942.053242,85.973996,1028.027239
613,942.079882,85.938035,1028.017917
